Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,temp,location,clouds,pressure,rain,time_stamp,humidity,wind,surge_factor
52,22,Suburban,Gold,72,3.6,Morning,Premium,101,303.803226426852,0.4272,Haymarket Square,0.14,0.0708,0.0,1543390139,0.6296,0.3527,1.1589
100,56,Suburban,Silver,67,4.2,Evening,Economy,169,461.9661913503604,0.4278,North End,0.13,0.0708,0.0666,1543390139,0.6296,0.3533,1.1709
83,72,Rural,Regular,25,4.62,Night,Premium,45,201.0575405594342,0.4267,North Station,0.14,0.0708,0.1459,1543390139,0.6481,0.351,1.1888
89,10,Rural,Silver,36,4.12,Afternoon,Premium,13,94.21444738997974,0.423,Northeastern University,0.15,0.0717,0.0836,1543390139,0.6481,0.3466,1.1769
100,37,Rural,Silver,47,4.7,Afternoon,Economy,142,546.8574476673242,0.4479,South Station,0.14,0.0713,0.1433,1543390139,0.5926,0.3544,1.189
71,7,Urban,Gold,31,4.83,Morning,Premium,60,292.74683013160404,0.4244,Theatre District,0.14,0.0713,0.0,1543390139,0.6481,0.3522,1.1594
94,26,Suburban,Regular,0,3.94,Afternoon,Premium,40,150.90603765991335,0.4253,West End,0.14,0.071,0.0957,1543390139,0.6481,0.3505,1.1785
52,23,Urban,Regular,41,4.23,Evening,Economy,134,534.90663340905,0.5898,Back Bay,0.36,0.4549,0.0,1543527151,0.2778,0.5472,1.2566
27,15,Urban,Silver,31,4.95,Afternoon,Economy,103,315.2654030422818,0.589,Beacon Hill,0.36,0.4547,0.0594,1543527151,0.2778,0.55,1.2686
88,62,Urban,Regular,62,4.82,Afternoon,Economy,162,601.2360266422271,0.5868,Boston University,0.37,0.4553,0.0,1543527151,0.2778,0.5405,1.257
48,38,Suburban,Silver,64,4.97,Night,Premium,152,701.4695729515377,0.5856,Fenway,0.36,0.4553,0.0,1543527151,0.2778,0.5422,1.2555
53,35,Suburban,Regular,1,3.67,Morning,Premium,88,392.0078846224547,0.6069,Financial District,0.36,0.4544,0.2334,1543527151,0.2407,0.5545,1.3046
31,12,Suburban,Gold,34,4.7,Night,Economy,105,331.8375249153692,0.5876,Haymarket Square,0.36,0.4544,0.2147,1543527151,0.2778,0.5528,1.2997
56,34,Suburban,Silver,1,4.56,Afternoon,Economy,121,307.5259290756184,0.5884,North End,0.36,0.4544,0.1524,1543527151,0.2778,0.5539,1.2875
48,35,Rural,Gold,47,4.26,Morning,Economy,26,68.27174499943663,0.5834,Northeastern University,0.36,0.4551,0.0,1543527151,0.2778,0.5456,1.2555
93,66,Suburban,Silver,22,3.91,Night,Economy,180,765.4397485645513,0.6058,South Station,0.36,0.4547,0.033,1543527151,0.2407,0.5545,1.2644
49,18,Rural,Silver,62,4.92,Afternoon,Economy,62,168.36628924698925,0.5831,Theatre District,0.36,0.4547,0.2304,1543527151,0.2778,0.5517,1.3021
72,33,Rural,Gold,63,4.25,Evening,Economy,132,351.7736189685264,0.5842,West End,0.37,0.4547,0.0921,1543527151,0.2778,0.5506,1.276
62,11,Suburban,Gold,37,4.23,Morning,Premium,71,363.3457529659053,0.2012,Beacon Hill,0.21,0.977,0.3731,1544784301,0.6667,0.1582,1.2832
39,15,Suburban,Regular,53,4.6,Evening,Premium,38,201.7146762833217,0.2062,Boston University,0.21,0.9793,0.1246,1544784301,0.6481,0.1615,1.2338
67,56,Urban,Gold,49,4.22,Afternoon,Premium,23,121.43999901863724,0.1922,Fenway,0.21,0.977,0.0986,1544784301,0.6667,0.156,1.2267
88,15,Urban,Regular,39,4.51,Afternoon,Economy,137,598.7750233051204,0.2017,Financial District,0.22,0.977,0.0339,1544784301,0.6667,0.1599,1.2171
29,16,Urban,Silver,75,4.11,Morning,Premium,80,371.1242881043308,0.2026,Haymarket Square,0.21,0.977,0.0911,1544784301,0.6667,0.1593,1.2271
100,24,Urban,Silver,88,4.49,Night,Economy,56,173.66696747925593,0.2068,North End,0.21,0.9787,0.0542,1544784301,0.6667,0.1615,1.2207
98,43,Suburban,Gold,62,4.98,Morning,Economy,130,538.5185280064754,0.1936,Northeastern University,0.21,0.977,0.1652,1544784301,0.6667,0.1571,1.2403
35,10,Rural,Gold,40,3.54,Night,Economy,75,281.9625670059949,0.1975,Theatre District,0.22,0.977,0.1973,1544784301,0.6852,0.1587,1.2499
58,14,Rural,Gold,10,3.77,Morning,Economy,95,258.01445968829404,0.1978,West End,0.21,0.977,0.0,1544784301,0.6852,0.1582,1.209
22,7,Urban,Gold,53,4.43,Morning,Premium,98,476.2019961536034,0.6404,Back Bay,1.0,0.5494,0.0038,1544993102,0.537,0.5316,1.3818
84,37,Suburban,Regular,94,3.83,Night,Economy,28,124.64550323605349,0.6309,Beacon Hill,0.96,0.5511,0.0038,1544993102,0.5741,0.531,1.3763
91,14,Suburban,Silver,19,4.78,Night,Premium,19,111.11271494112724,0.6337,Boston University,0.97,0.5509,0.0038,1544993102,0.5741,0.5176,1.3769
56,29,Urban,Gold,67,4.49,Afternoon,Economy,125,421.8171879075184,0.6267,Fenway,0.91,0.5475,0.0038,1544993102,0.5741,0.5215,1.3669
97,21,Rural,Regular,36,3.72,Evening,Premium,23,134.0510144913575,0.6622,Financial District,1.0,0.553,0.0,1544993102,0.5,0.5405,1.3837
57,47,Urban,Gold,26,3.8,Morning,Economy,30,132.4032477391118,0.6404,North End,1.0,0.5492,0.0,1544993102,0.537,0.5394,1.3818
94,27,Suburban,Silver,100,3.6,Night,Premium,172,547.9814624298182,0.6287,North Station,0.96,0.5513,0.0038,1544993102,0.5926,0.5316,1.377
84,6,Suburban,Gold,24,3.74,Morning,Economy,68,281.96824577029594,0.6262,Northeastern University,0.91,0.5473,0.0038,1544993102,0.5741,0.5271,1.3673
40,11,Rural,Silver,1,4.24,Night,Premium,35,182.46632143825187,0.6535,South Station,0.96,0.5509,0.1394,1544993102,0.537,0.54,1.4058
65,36,Suburban,Silver,20,4.39,Night,Premium,87,313.7742265682814,0.6248,Theatre District,0.97,0.5509,0.0,1544993102,0.5926,0.5361,1.3775
35,22,Urban,Silver,28,4.88,Afternoon,Premium,116,422.8866610257602,0.6253,West End,0.96,0.5511,0.0037,1544993102,0.5926,0.531,1.3764
40,30,Urban,Regular,67,4.03,Evening,Premium,143,529.6967147126813,0.5876,Haymarket Square,0.93,0.5445,0.0,1543209239,0.8704,0.1515,1.3408
61,45,Urban,Silver,6,4.99,Evening,Economy,10,25.993449448411635,0.5854,South Station,0.93,0.5443,0.124,1543209239,0.8704,0.1604,1.3661
50,14,Urban,Gold,98,3.52,Night,Premium,109,351.5699575243088,0.5267,Beacon Hill,0.53,0.2042,0.3955,1543456927,0.463,0.5584,1.337
98,25,Suburban,Silver,30,4.76,Afternoon,Economy,60,154.68715967826247,0.5275,Boston University,0.53,0.2046,0.073,1543456927,0.463,0.5461,1.2714
54,37,Suburban,Regular,41,4.69,Afternoon,Premium,16,106.59208227583191,0.5236,Fenway,0.54,0.2048,0.182,1543456927,0.463,0.5495,1.2945
37,13,Rural,Regular,31,4.66,Afternoon,Economy,35,132.1665679180113,0.5281,Financial District,0.54,0.204,0.0844,1543456927,0.463,0.5646,1.2771
78,41,Urban,Silver,12,4.99,Afternoon,Economy,22,76.224961221763,0.5267,Haymarket Square,0.53,0.2038,0.0611,1543456927,0.463,0.5618,1.2704
84,21,Rural,Gold,88,3.5,Afternoon,Economy,146,598.9400399823005,0.5275,North End,0.53,0.2038,0.1925,1543456927,0.463,0.5634,1.297
44,32,Suburban,Silver,51,4.2,Afternoon,Premium,168,563.1508995670627,0.5256,North Station,0.53,0.2038,0.0364,1543456927,0.463,0.5595,1.2651
25,11,Urban,Silver,92,3.91,Night,Economy,115,310.1546162756803,0.5228,Northeastern University,0.54,0.2046,0.1084,1543456927,0.463,0.5539,1.2801
38,13,Urban,Gold,38,4.46,Evening,Premium,28,145.13756861567325,0.5267,South Station,0.54,0.204,0.1154,1543456927,0.463,0.5651,1.2831
85,25,Urban,Silver,21,4.03,Morning,Economy,73,323.5576857599395,0.5231,Theatre District,0.54,0.2042,0.0,1543456927,0.463,0.5618,1.2592
31,13,Suburban,Gold,87,4.04,Evening,Economy,11,31.565676162125197,0.5244,West End,0.53,0.204,0.2019,1543456927,0.463,0.559,1.298
67,6,Rural,Regular,25,4.45,Evening,Premium,31,144.46263762346956,0.5395,Beacon Hill,1.0,0.3872,0.0512,1545025502,0.8148,0.6322,1.3838
77,11,Rural,Silver,70,3.82,Night,Premium,63,252.4930471020809,0.5602,Financial District,1.0,0.3866,0.0,1545025502,0.7778,0.6395,1.3755
32,11,Suburban,Silver,30,3.53,Afternoon,Premium,32,146.51277441611944,0.5342,West End,1.0,0.3872,0.1431,1545025502,0.8333,0.6328,1.4024
71,30,Rural,Regular,60,4.83,Evening,Premium,156,501.801349985356,0.6477,Boston University,0.37,0.8771,0.0,1544816702,0.3704,0.2152,1.2804
65,38,Urban,Regular,13,4.77,Morning,Premium,132,610.7325514755008,0.6569,Financial District,0.33,0.8771,0.0775,1544816702,0.3519,0.2186,1.2907
64,29,Urban,Silver,66,3.79,Night,Premium,37,194.26239936468437,0.6563,South Station,0.33,0.8771,0.0726,1544816702,0.3519,0.2186,1.2896
48,38,Urban,Silver,45,4.17,Afternoon,Economy,87,318.2101259853132,0.112,Boston University,0.34,0.9763,0.214,1544712302,0.2963,0.1498,1.238
76,42,Rural,Gold,95,3.93,Morning,Economy,180,512.6251102173163,0.1171,Fenway,0.34,0.9763,0.1351,1544712302,0.2778,0.1498,1.2221
76,53,Urban,Regular,77,3.67,Afternoon,Premium,179,555.8919187631545,0.1425,Financial District,0.33,0.9763,0.0706,1544712302,0.2593,0.1532,1.2109
71,14,Suburban,Silver,8,4.44,Night,Economy,76,242.15886076969636,0.1193,North End,0.32,0.9765,0.1793,1544712302,0.2963,0.1532,1.2295
76,9,Urban,Silver,64,4.16,Evening,Economy,10,41.40499127744981,0.1182,North Station,0.33,0.9765,0.2532,1544712302,0.2963,0.1526,1.2456
51,14,Rural,Gold,16,3.51,Night,Premium,30,180.88655372559683,0.1187,Northeastern University,0.34,0.9761,0.1459,1544712302,0.2778,0.1504,1.2245
88,38,Rural,Gold,29,3.73,Evening,Premium,167,537.8971058809161,0.1439,South Station,0.33,0.9763,0.0752,1544712302,0.2593,0.1532,1.212
60,24,Rural,Gold,5,3.79,Afternoon,Premium,154,556.6629286327259,0.1171,West End,0.33,0.9765,0.0,1544712302,0.2963,0.1526,1.1948
73,55,Rural,Regular,55,4.2,Afternoon,Economy,52,158.5563431447304,0.5801,Boston University,0.91,0.5449,0.0,1543210157,0.8889,0.1286,1.3353
23,10,Urban,Silver,80,3.88,Afternoon,Economy,22,59.4454065021933,0.5806,Haymarket Square,0.92,0.5451,0.0345,1543210157,0.8889,0.1347,1.3444
74,27,Suburban,Silver,51,3.75,Morning,Premium,111,334.1449975015087,0.5817,North End,0.92,0.5451,0.0,1543210157,0.8889,0.1353,1.3377
49,6,Suburban,Gold,18,4.41,Night,Premium,148,443.7750198288772,0.5736,Northeastern University,0.91,0.5449,0.0497,1543210157,0.9074,0.1375,1.3461
31,8,Rural,Gold,7,3.57,Night,Economy,35,145.24203735141535,0.5127,Beacon Hill,0.53,0.7525,0.0812,1543704775,0.4815,0.1146,1.2834
57,46,Rural,Regular,42,4.39,Morning,Economy,56,210.6317666138125,0.5127,Boston University,0.53,0.7525,0.1422,1543704775,0.4815,0.1174,1.2959
64,19,Suburban,Regular,35,4.02,Afternoon,Economy,39,152.22919256822726,0.5085,West End,0.53,0.7525,0.0647,1543704775,0.5,0.1135,1.2803
86,76,Suburban,Regular,84,4.99,Night,Economy,149,612.446726848697,0.3495,Beacon Hill,0.59,0.978,0.1367,1544733902,0.3148,0.0609,1.2879
54,28,Suburban,Regular,73,3.56,Morning,Premium,51,250.28588237277447,0.3493,Boston University,0.61,0.978,0.0821,1544733902,0.2963,0.052,1.2781
85,37,Rural,Gold,10,3.76,Night,Premium,61,309.08254473187293,0.3487,West End,0.59,0.978,0.0,1544733902,0.3148,0.0615,1.2605
58,15,Rural,Regular,14,4.76,Night,Premium,12,94.1609176991503,0.5217,North Station,0.59,0.1961,0.0,1543454686,0.5,0.5651,1.2679
96,27,Rural,Gold,21,4.37,Night,Premium,57,243.93730652889337,0.5837,Back Bay,1.0,0.0926,0.0552,1543433527,0.3889,0.5361,1.3309
58,31,Suburban,Silver,32,4.87,Evening,Premium,85,331.19305388667465,0.584,Beacon Hill,1.0,0.0924,0.0,1543433527,0.3889,0.5383,1.3201
77,45,Suburban,Silver,88,4.16,Morning,Economy,151,595.2312211886215,0.587,Boston University,1.0,0.093,0.1513,1543433527,0.3889,0.5299,1.35
93,73,Rural,Regular,78,3.81,Night,Premium,106,465.962681649944,0.5778,Fenway,1.0,0.093,0.2714,1543433527,0.4074,0.5321,1.3738
44,11,Rural,Regular,56,3.83,Afternoon,Premium,18,104.75201005936664,0.5977,Financial District,1.0,0.0922,0.2312,1543433527,0.3704,0.5422,1.3679
20,10,Rural,Regular,54,4.12,Morning,Premium,168,784.0551260339382,0.5868,Haymarket Square,1.0,0.0915,0.0462,1543433527,0.3889,0.5361,1.3295
70,40,Suburban,Regular,9,3.77,Evening,Economy,130,382.9299378688001,0.5845,North End,1.0,0.092,0.2663,1543433527,0.3889,0.5416,1.3737
42,12,Rural,Gold,92,4.5,Afternoon,Economy,123,319.2967130915861,0.5851,North Station,1.0,0.0915,0.093,1543433527,0.3889,0.5349,1.3384
87,33,Rural,Regular,53,4.15,Evening,Economy,143,640.1373391067773,0.5812,Northeastern University,1.0,0.0924,0.0304,1543433527,0.3889,0.531,1.325
70,43,Suburban,Gold,47,4.31,Morning,Economy,57,243.4933853851045,0.5965,South Station,1.0,0.0922,0.0,1543433527,0.3704,0.5422,1.3214
61,15,Urban,Gold,29,4.49,Afternoon,Economy,32,135.005874109167,0.5823,Theatre District,1.0,0.0917,0.0348,1543433527,0.3889,0.5355,1.3265
71,36,Suburban,Silver,69,4.37,Morning,Economy,110,392.9639432866157,0.5801,West End,1.0,0.0922,0.0237,1543433527,0.4074,0.5388,1.3252
81,33,Suburban,Regular,41,4.93,Afternoon,Premium,162,617.2885000560723,0.5845,Beacon Hill,1.0,0.5532,0.0958,1543213444,0.8519,0.0576,1.3605
87,64,Rural,Silver,69,4.55,Evening,Premium,65,310.7883994951958,0.6798,Financial District,1.0,0.5532,0.0945,1543213444,0.6481,0.0609,1.3647
85,65,Suburban,Regular,73,4.65,Afternoon,Premium,165,770.0708908209459,0.5792,Northeastern University,1.0,0.5528,0.0743,1543213444,0.8704,0.0542,1.356
91,65,Urban,Regular,40,3.58,Evening,Economy,141,373.50470759834695,0.5823,West End,1.0,0.5532,0.1303,1543213444,0.8704,0.0587,1.3681
83,57,Rural,Silver,80,4.6,Night,Premium,172,814.4195559447121,0.6801,Back Bay,1.0,0.3843,0.0637,1543277834,0.8333,0.5349,1.3983
64,10,Suburban,Gold,75,3.61,Morning,Premium,155,473.34669329802574,0.6792,Beacon Hill,1.0,0.3847,0.0369,1543277834,0.8333,0.5422,1.3936
69,22,Rural,Silver,25,4.41,Night,Premium,74,266.76777889406367,0.6806,Boston University,1.0,0.384,0.0348,1543277834,0.8333,0.5221,1.3913
37,12,Rural,Silver,15,3.73,Evening,Economy,142,369.36165888010754,0.6778,Fenway,1.0,0.3838,0.0667,1543277834,0.8333,0.5226,1.3973
93,28,Urban,Silver,63,3.9,Evening,Economy,38,111.72394123957052,0.7047,Financial District,1.0,0.3847,0.0382,1543277834,0.7778,0.55,1.3957
66,49,Rural,Gold,42,4.56,Afternoon,Economy,124,429.94835612457183,0.6795,Haymarket Square,1.0,0.3849,0.0544,1543277834,0.8333,0.5495,1.3979
47,36,Rural,Silver,100,4.2,Morning,Economy,103,414.77830030238334,0.6804,North End,1.0,0.3849,0.0414,1543277834,0.8333,0.5517,1.3957
71,30,Rural,Regular,45,4.16,Evening,Premium,53,227.1825700126456,0.7041,South Station,1.0,0.3845,0.0542,1543277834,0.7778,0.5489,1.3987
58,19,Urban,Silver,47,3.97,Evening,Economy,77,247.4420018201041,0.6778,Theatre District,1.0,0.3845,0.0564,1543277834,0.8519,0.5444,1.3984
100,18,Suburban,Silver,50,4.89,Morning,Premium,51,213.8232968736634,0.6778,West End,1.0,0.3849,0.0382,1543277834,0.8519,0.5456,1.395
94,28,Urban,Regular,59,4.45,Night,Economy,173,652.5878909594384,0.5865,Boston University,0.92,0.5441,0.2275,1543209184,0.8704,0.1431,1.3837
49,6,Rural,Silver,23,4.65,Night,Premium,69,289.6463054085282,0.5865,Financial District,0.93,0.5443,0.1964,1543209184,0.8704,0.1582,1.3805
42,7,Rural,Gold,90,3.67,Evening,Economy,32,123.762469326047,0.5876,Haymarket Square,0.93,0.5445,0.0,1543209184,0.8704,0.1515,1.3408
79,63,Urban,Gold,56,4.66,Evening,Premium,70,292.5906288976858,0.5862,North Station,0.93,0.5445,0.0,1543209184,0.8704,0.1487,1.3403
59,5,Rural,Gold,17,4.97,Evening,Premium,143,440.93951077757487,0.5856,South Station,0.93,0.5443,0.1944,1543209184,0.8704,0.1604,1.3802
54,7,Urban,Regular,91,3.75,Night,Economy,97,298.3226183929867,0.5845,West End,0.93,0.5445,0.0,1543209184,0.8704,0.1492,1.3401
60,6,Rural,Silver,65,4.76,Morning,Economy,168,629.2044295696749,0.6354,Back Bay,0.44,0.7337,0.0448,1543690374,0.2222,0.0352,1.2583
26,13,Suburban,Silver,4,3.63,Night,Premium,123,441.99619244539696,0.6334,Beacon Hill,0.45,0.7337,0.0,1543690374,0.2222,0.0358,1.2506
90,10,Rural,Silver,59,4.44,Morning,Premium,147,691.5012905566776,0.6334,Boston University,0.43,0.7337,0.0,1543690374,0.2222,0.033,1.2473
34,12,Suburban,Silver,38,4.18,Afternoon,Economy,24,106.94859059241988,0.6382,Fenway,0.44,0.7337,0.1437,1543690374,0.2222,0.0341,1.2784
80,34,Suburban,Silver,84,3.8,Night,Economy,174,561.4385219871201,0.6368,Financial District,0.45,0.7335,0.1718,1543690374,0.2222,0.0375,1.2856
21,7,Rural,Regular,58,4.31,Morning,Premium,75,328.45835687553256,0.6365,Haymarket Square,0.45,0.7335,0.0,1543690374,0.2222,0.0363,1.2511
97,71,Suburban,Silver,52,4.32,Evening,Economy,36,133.38738314122594,0.6368,North End,0.45,0.7335,0.0,1543690374,0.2222,0.0369,1.2512
64,7,Suburban,Regular,92,4.58,Evening,Premium,16,114.6992021313152,0.6379,North Station,0.45,0.7335,0.0033,1543690374,0.2222,0.0358,1.2519
47,34,Rural,Gold,16,4.38,Evening,Premium,46,237.14338896943255,0.639,Northeastern University,0.44,0.7337,0.1244,1543690374,0.2222,0.0352,1.2747
44,28,Rural,Gold,30,3.93,Evening,Premium,42,157.10657171647188,0.6379,South Station,0.45,0.7335,0.0,1543690374,0.2222,0.038,1.2514
21,9,Suburban,Gold,13,4.01,Evening,Economy,127,431.251597706785,0.6387,Theatre District,0.45,0.7337,0.0975,1543690374,0.2222,0.0369,1.271
57,37,Urban,Gold,59,3.92,Evening,Economy,159,585.8075881778408,0.637,West End,0.45,0.7335,0.0719,1543690374,0.2222,0.0358,1.2655
62,5,Rural,Silver,51,4.4,Afternoon,Economy,160,647.204374917644,0.6764,Back Bay,0.97,0.3766,0.2783,1543279333,0.8519,0.5947,1.4423
25,6,Urban,Gold,60,3.91,Evening,Premium,145,559.578839787104,0.6753,Beacon Hill,0.97,0.377,0.1796,1543279333,0.8519,0.6026,1.4233
92,33,Suburban,Silver,70,3.69,Evening,Premium,46,173.1505322724627,0.6781,Boston University,0.98,0.3764,0.2705,1543279333,0.8519,0.5785,1.4409
38,7,Rural,Gold,46,3.79,Night,Economy,78,198.17046750812372,0.6731,Fenway,0.98,0.3759,0.2564,1543279333,0.8704,0.5808,1.4384
99,31,Urban,Silver,0,3.54,Morning,Economy,50,192.7088692483722,0.71,Financial District,0.97,0.377,0.1663,1543279333,0.7778,0.6121,1.4231
35,7,Rural,Regular,65,4.19,Night,Economy,65,165.0758241756551,0.6745,Haymarket Square,0.97,0.3774,0.178,1543279333,0.8704,0.611,1.4246
30,13,Urban,Gold,53,3.68,Night,Premium,124,379.4680328899806,0.6753,North End,0.97,0.3774,0.1775,1543279333,0.8704,0.6138,1.4249
28,6,Urban,Gold,53,4.48,Night,Premium,148,461.10955384851616,0.6737,North Station,0.97,0.3774,0.1842,1543279333,0.8704,0.6082,1.4255
59,47,Rural,Silver,73,3.54,Night,Economy,75,234.5672445982206,0.6723,Northeastern University,0.98,0.3759,0.1802,1543279333,0.8704,0.588,1.4238
24,13,Urban,Silver,50,4.26,Night,Premium,141,540.0620306756346,0.7091,South Station,0.97,0.377,0.1604,1543279333,0.7778,0.6121,1.4217
21,6,Suburban,Regular,15,3.81,Evening,Premium,80,318.8415033130425,0.672,Theatre District,0.97,0.3768,0.2858,1543279333,0.8704,0.6059,1.4453
84,54,Suburban,Silver,59,4.98,Afternoon,Premium,43,196.31514152174805,0.6725,West End,0.97,0.3772,0.3024,1543279333,0.8704,0.6054,1.4486
100,50,Urban,Silver,83,4.91,Morning,Premium,173,622.4914304114809,0.5988,Back Bay,1.0,0.0783,0.1486,1543431983,0.3519,0.5148,1.3464
30,11,Urban,Silver,99,4.96,Evening,Economy,83,349.6745279402746,0.5979,Beacon Hill,1.0,0.0781,0.0893,1543431983,0.3519,0.5159,1.3345
45,35,Rural,Regular,0,4.58,Afternoon,Premium,41,206.1473318707726,0.6002,Boston University,1.0,0.0785,0.0,1543431983,0.3519,0.5098,1.3165
53,35,Urban,Gold,35,3.92,Afternoon,Premium,166,635.9330544824535,0.6046,Financial District,1.0,0.0779,0.2283,1543431983,0.3519,0.5193,1.3637
65,41,Rural,Gold,51,3.57,Night,Premium,48,251.1121418065252,0.5971,Haymarket Square,1.0,0.0779,0.0534,1543431983,0.3519,0.5182,1.3274
93,6,Rural,Silver,85,4.47,Night,Economy,107,324.098767437868,0.5982,North End,1.0,0.0779,0.0703,1543431983,0.3519,0.5193,1.3311
28,5,Rural,Regular,69,4.49,Morning,Premium,132,425.4887347951667,0.5957,North Station,1.0,0.0779,0.0,1543431983,0.3519,0.517,1.3164
38,8,Urban,Silver,78,3.57,Night,Economy,114,470.2690237026412,0.5937,Northeastern University,1.0,0.0785,0.0167,1543431983,0.3519,0.5131,1.3192
25,6,Urban,Regular,69,4.45,Evening,Premium,94,398.051725971793,0.5943,West End,1.0,0.0779,0.0,1543431983,0.3519,0.5165,1.3162
76,23,Rural,Regular,64,3.57,Night,Premium,115,564.9317250247195,0.5837,Haymarket Square,1.0,0.5534,0.0515,1543213004,0.8519,0.0548,1.3513
22,7,Suburban,Gold,73,4.91,Morning,Premium,73,238.31899146487595,0.6781,South Station,1.0,0.5532,0.2947,1543213004,0.6481,0.0553,1.4039
40,5,Rural,Silver,17,4.55,Afternoon,Economy,72,184.9552256292673,0.5882,Boston University,0.94,0.5447,0.0,1543207776,0.8704,0.1207,1.3393
89,16,Suburban,Regular,27,4.86,Afternoon,Economy,161,624.305615960136,0.5896,Haymarket Square,0.95,0.5451,0.0,1543207776,0.8704,0.128,1.3418
31,21,Suburban,Silver,77,4.83,Afternoon,Economy,107,389.3845083155804,0.5862,Northeastern University,0.94,0.5447,0.2637,1543207776,0.8704,0.1308,1.3927
92,45,Rural,Silver,59,4.23,Morning,Premium,121,574.8939389332888,0.5884,South Station,0.95,0.5449,0.0469,1543207776,0.8704,0.1358,1.3517
58,32,Urban,Gold,92,4.59,Afternoon,Premium,111,517.9444619823878,0.587,Theatre District,0.95,0.5449,0.0,1543207776,0.8704,0.133,1.3419
58,20,Rural,Silver,42,3.51,Evening,Economy,125,527.1792011771714,0.3705,South Station,0.0,0.5432,0.208,1543553580,0.5926,0.2789,1.209
36,7,Suburban,Regular,26,4.35,Morning,Economy,59,201.49683080394215,0.5988,Boston University,0.61,0.0708,0.0,1543420928,0.3148,0.5372,1.2579
66,40,Rural,Regular,93,4.86,Evening,Economy,153,627.0167510146084,0.6069,Fenway,0.61,0.0708,0.3095,1543420928,0.2963,0.5394,1.3203
76,54,Urban,Regular,58,4.05,Evening,Economy,74,218.6251778894482,0.6035,Haymarket Square,0.63,0.0706,0.1614,1543420928,0.3148,0.5366,1.2938
55,23,Urban,Gold,46,4.58,Afternoon,Premium,150,654.676536309137,0.6035,North End,0.63,0.0704,0.0109,1543420928,0.3148,0.5361,1.2636
21,8,Urban,Regular,57,4.78,Night,Premium,84,293.5602166445157,0.6046,North Station,0.63,0.0706,0.3522,1543420928,0.3148,0.5355,1.332
61,45,Rural,Gold,42,4.25,Afternoon,Economy,102,421.98526198279467,0.5096,Back Bay,0.11,0.6226,0.0,1543589574,0.4259,0.1353,1.19
72,62,Suburban,Regular,48,3.82,Evening,Economy,126,553.7408048680613,0.5063,Beacon Hill,0.11,0.6226,0.1696,1543589574,0.4259,0.1342,1.2233
65,18,Rural,Gold,65,4.01,Morning,Economy,111,330.62430999065225,0.5074,Boston University,0.12,0.6226,0.1125,1543589574,0.4259,0.133,1.2135
20,8,Rural,Silver,27,4.99,Morning,Economy,83,261.4451502998812,0.513,Fenway,0.12,0.6226,0.2418,1543589574,0.4259,0.1347,1.2403
22,7,Suburban,Silver,16,4.1,Night,Economy,147,520.0637873298249,0.4867,Financial District,0.11,0.6226,0.2754,1543589574,0.463,0.1358,1.2436
72,49,Suburban,Gold,15,4.34,Night,Premium,19,117.63327810103034,0.5091,Haymarket Square,0.11,0.6226,0.078,1543589574,0.4259,0.1347,1.2055
42,30,Urban,Regular,26,4.79,Afternoon,Economy,138,493.0149508584995,0.5094,North End,0.11,0.6226,0.0,1543589574,0.4259,0.1347,1.1899
100,54,Suburban,Regular,91,4.59,Night,Premium,61,203.1132957396489,0.5108,North Station,0.11,0.6226,0.1332,1543589574,0.4259,0.1336,1.2167
87,32,Suburban,Silver,38,4.76,Afternoon,Economy,114,421.7762985074602,0.5133,Northeastern University,0.12,0.6226,0.0,1543589574,0.4259,0.1358,1.1921
36,8,Urban,Gold,47,4.07,Afternoon,Economy,77,305.0088858607341,0.4873,South Station,0.11,0.6226,0.3337,1543589574,0.463,0.1364,1.2554
70,38,Urban,Silver,99,4.19,Morning,Economy,76,317.77188818101894,0.5102,Theatre District,0.11,0.6226,0.0915,1543589574,0.4259,0.1358,1.2085
41,7,Urban,Gold,4,4.15,Night,Economy,83,364.9140560714328,0.5099,West End,0.11,0.6226,0.0266,1543589574,0.4259,0.1342,1.1953
59,40,Rural,Gold,64,4.72,Night,Economy,157,398.3194964103068,0.5253,West End,0.55,0.2031,0.0977,1543456792,0.463,0.5567,1.28
33,14,Urban,Regular,38,4.89,Morning,Economy,127,461.3060120664082,0.6049,Back Bay,1.0,0.0926,0.0,1543435327,0.3519,0.4969,1.3173
70,26,Urban,Silver,15,3.67,Night,Premium,70,358.2348071386952,0.6044,Beacon Hill,1.0,0.0924,0.0,1543435327,0.3519,0.4969,1.3172
45,7,Rural,Regular,87,4.35,Evening,Economy,74,224.3071067625652,0.6125,Boston University,1.0,0.0928,0.2288,1543435327,0.3333,0.4908,1.3627
98,71,Suburban,Regular,83,4.55,Morning,Economy,139,558.3815496134125,0.6013,Fenway,1.0,0.093,0.0,1543435327,0.3519,0.4947,1.3166
75,63,Urban,Gold,42,4.55,Evening,Premium,138,660.4425622593634,0.6153,Financial District,1.0,0.0922,0.0,1543435327,0.3333,0.5014,1.3183
100,34,Rural,Gold,33,4.75,Night,Economy,156,537.4486716625657,0.603,Haymarket Square,1.0,0.0922,0.1431,1543435327,0.3519,0.498,1.3457
